amount,location,transactions_last_hour,is_new_device,is_new_location,fraud
32007.4,Chennai,0,1,0,0
7062.94,Hyderabad,1,0,1,0
1586.88,Chennai,3,0,0,0
35829.38,Delhi,8,1,0,1
29504.36,Mumbai,0,0,1,0
13965.78,Guntur,3,1,0,0
19058.37,Hyderabad,5,1,1,1
36513.62,Guntur,8,0,1,1
27646.83,Guntur,10,1,0,1
2386.64,Chennai,3,1,0,0
43337.53,Mumbai,6,1,1,1
8216.44,Guntur,5,0,1,0
30495.64,Delhi,2,0,0,0
19034.83,Hyderabad,10,0,1,1
11529.5,Bangalore,0,1,1,1
3402.81,Delhi,9,1,0,0
19842.03,Bangalore,10,1,0,1
7067.55,Pune,8,1,1,1
18163.62,Hyderabad,2,1,0,0
43069.04,Guntur,2,0,1,0
19299.89,Hyderabad,9,1,1,1
34046.14,Guntur,1,1,1,1
14745.66,Bangalore,2,1,0,0
48597.22,Chennai,2,0,1,0
7726.68,Delhi,2,0,1,0
1071.89,Hyderabad,5,1,0,0
12119.49,Delhi,9,0,0,0
40819.56,Delhi,8,0,0,0
47347.75,Chennai,2,1,1,1
46452.78,Mumbai,3,1,1,1
21961.19,Chennai,8,1,0,1
11312.4,Chennai,5,0,0,0
458.82,Guntur,10,0,0,0
45280.46,Bangalore,5,0,0,0
33481.99,Chennai,3,0,1,0
39252.51,Guntur,6,0,0,0
32983.24,Delhi,5,1,1,1
43205.45,Pune,0,0,0,0
36437.86,Chennai,1,0,0,0
26860.66,Bangalore,2,1,0,0
23185.14,Hyderabad,1,1,0,0
32642.03,Chennai,8,0,0,0
8398.92,Pune,7,1,0,0
45131.9,Pune,2,1,0,0
13333.63,Delhi,7,1,1,1
7824.36,Hyderabad,4,0,0,0
37423.98,Vijayawada,0,0,1,0
2938.29,Guntur,8,0,0,0
29792.25,Guntur,10,0,1,1
47085.65,Guntur,9,0,0,0
21019.32,Chennai,9,1,1,1
33519.33,Pune,5,0,1,1
6630.83,Mumbai,10,1,1,1
46458.01,Guntur,1,0,1,0
3755.71,Mumbai,3,1,0,0
44055.12,Vijayawada,3,1,1,1
21965.41,Bangalore,8,1,0,1
46594.63,Guntur,1,0,1,0
44496.66,Bangalore,8,0,1,1
30281.01,Delhi,5,0,1,1
12630.95,Bangalore,0,0,1,0
2299.93,Vijayawada,5,0,1,0
37087.42,Guntur,8,1,0,1
3854.67,Vijayawada,2,0,1,0
21546.36,Hyderabad,0,1,1,1
44956.34,Mumbai,3,0,0,0
39027.8,Vijayawada,6,0,0,0
48812.68,Vijayawada,2,1,0,0
36854.57,Bangalore,5,1,0,1
8043.97,Delhi,1,1,0,0
11199.44,Chennai,7,1,1,1
11223.89,Mumbai,10,0,1,1
14002.29,Pune,1,1,1,1
34007.95,Guntur,8,1,0,1
43864.22,Hyderabad,4,0,1,0
5509.29,Pune,6,1,1,1
30349.82,Chennai,8,0,1,1
12810.65,Mumbai,6,0,0,0
21621.74,Guntur,10,1,1,1
36015.74,Mumbai,4,1,1,1
20179.78,Pune,4,0,0,0
33279.98,Pune,6,0,1,1
27442.07,Chennai,0,1,1,1
21551.42,Delhi,9,1,1,1
